iterations,error
10,96.41959326318113
20,95.14045465816434
30,93.53748137920978
40,92.34599047982863
50,90.61680438895046
60,88.82207551357018
70,86.94635801545756
80,85.51211727897952
90,82.92679798858572
100,80.50595052954492
110,77.97898821965485
120,74.79955511453653
130,72.8012204450506
140,69.47406798235087
150,66.31824667696583
160,64.38358340183304
170,61.127623026536895
180,56.90807351281373
190,52.6259017685568
200,48.19575807576039
210,44.944050183967384
220,39.7202410302439
230,35.59095206390981
240,31.809068424935653
250,27.63026792512328
260,22.10016514284193
270,16.593796571647836
280,12.103436999220236
