iterations,error
10,101.93428845733011
20,99.10896744187133
30,97.51655410587958
40,94.87132614958574
50,92.04648264183695
60,89.22186143778394
70,86.58729673825509
80,83.58325002739247
90,80.38861335352895
100,77.56485055064816
110,73.71360760800447
120,71.37725702648767
130,67.66387568069514
140,63.61345365475411
150,59.38135316265075
160,55.58184826531721
170,50.79880491449198
180,46.07801797238681
190,40.95294043625673
200,35.36819391351246
210,29.29062766249433
220,22.854327566073803
230,16.214419750481266
240,9.570855981173514
