episodes,time
0,403.187
1,27.744
2,37.224
3,40.411
4,74.485
5,23.243
6,0.449
7,8.994
8,21.006
9,29.1
10,14.169
11,17.7
12,30.951
13,33.423
14,32.318
15,0.283
16,0.2
17,1.218
18,1.252
19,14.618
20,17.184
21,27.699
22,10.81
23,0.801
24,41.765
25,11.145
26,1.201
27,17.487
28,14.949
29,20.409
30,16.132
31,17.102
32,15.168
33,0.516
34,9.945
35,0.867
36,12.097
37,12.146
38,0.234
39,8.758
40,16.636
41,12.93
42,14.484
43,0.233
44,6.121
45,8.008
46,16.203
47,11.847
48,8.61
49,0.617
50,13.597
51,7.542
52,0.217
53,0.551
54,13.065
55,9.075
56,11.848
57,8.19
58,6.206
59,7.291
60,10.596
61,11.145
62,9.344
63,0.333
64,10.012
65,10.945
66,4.59
67,13.548
68,0.467
69,0.217
70,9.076
71,9.511
72,6.256
73,0.434
74,10.078
75,9.493
76,7.775
77,7.643
78,11.895
79,7.592
80,5.237
81,6.358
82,10.963
83,0.266
84,8.544
85,9.911
86,4.321
87,7.474
88,0.183
89,0.384
90,5.841
91,10.177
92,11.562
93,3.136
94,0.284
95,9.559
96,10.128
97,9.091
98,7.024
99,4.156
100,4.438
101,6.474
102,5.539
103,4.071
104,8.258
105,7.525
106,8.51
107,7.591
108,5.271
109,9.977
110,4.339
111,8.49
112,8.793
113,3.47
114,6.757
115,0.233
116,5.621
117,5.024
118,6.973
119,0.234
120,7.542
121,6.958
122,0.183
123,6.657
124,0.467
125,8.025
126,6.574
127,9.044
128,3.436
129,7.691
130,0.25
131,7.309
132,7.025
133,5.255
134,7.058
135,0.217
136,5.353
137,7.775
138,2.818
139,3.888
140,4.387
141,6.876
142,5.806
143,9.778
144,7.14
145,2.12
146,2.169
147,2.703
148,0.2
149,5.107
150,6.956
151,5.406
152,8.376
153,4.755
154,7.309
155,6.707
156,0.367
157,0.284
158,6.005
159,5.608
160,6.272
161,3.655
162,6.172
163,5.79
164,7.859
165,5.672
166,8.091
167,0.182
168,5.157
169,0.217
170,0.267
171,2.419
172,7.242
173,5.555
174,6.724
175,3.22
176,6.491
177,5.857
178,5.155
179,7.025
180,5.639
181,6.122
182,5.355
183,7.258
184,4.723
185,3.82
186,4.054
187,4.289
188,6.908
189,2.453
190,6.371
191,3.688
192,5.171
193,5.455
194,5.137
195,7.576
196,2.501
197,6.207
198,5.44
199,4.571
200,6.808
201,0.217
202,6.572
203,5.039
204,5.94
205,5.937
206,6.291
207,2.402
208,6.108
209,3.236
210,1.167
211,2.669
212,4.34
213,6.639
214,3.572
215,4.454
216,1.852
217,4.139
218,4.404
219,1.168
220,3.637
221,6.523
222,6.742
223,3.552
224,0.251
225,5.605
226,4.304
227,4.604
228,4.169
229,4.223
230,4.137
231,4.123
232,0.2
233,4.587
234,6.124
235,3.921
236,6.057
237,2.552
238,2.168
239,4.222
240,4.687
241,5.424
242,5.97
243,2.454
244,3.036
245,6.305
246,4.939
247,4.786
248,4.256
249,5.153
250,5.272
251,4.887
252,5.591
253,2.784
254,5.407
255,4.255
256,4.423
257,5.054
258,2.62
259,4.337
260,5.338
261,6.275
262,4.756
263,5.305
264,3.786
265,0.201
266,6.656
267,1.666
268,5.272
269,4.536
270,5.524
271,4.421
272,1.082
273,3.088
274,5.672
275,5.838
276,5.454
277,4.072
278,3.654
279,4.81
280,6.239
281,4.439
282,4.721
283,4.173
284,5.588
285,2.938
286,3.77
287,4.821
288,4.907
289,5.588
290,4.873
291,3.887
292,4.32
293,5.188
294,3.186
295,5.755
296,3.953
297,4.454
298,1.935
299,4.373
300,3.553
301,4.052
302,3.889
303,4.753
304,4.556
305,5.421
306,2.302
307,5.539
308,4.154
309,9.042
310,4.623
311,2.485
312,4.472
313,2.902
314,3.602
315,3.838
316,4.104
317,2.035
318,4.356
319,3.32
320,4.755
321,5.055
322,3.885
323,5.357
324,3.985
325,2.938
326,1.635
327,3.535
328,4.121
329,3.153
330,2.018
331,4.087
332,4.185
333,3.685
334,3.755
335,5.304
336,3.904
337,4.353
338,4.556
339,4.602
340,5.274
341,2.568
342,4.856
343,1.117
344,1.301
345,7.809
346,3.47
347,2.219
348,4.187
349,5.072
350,5.14
351,3.119
352,2.001
353,4.924
354,4.087
355,4.27
356,4.506
357,4.937
358,4.022
359,2.919
360,2.851
361,4.306
362,3.702
363,4.472
364,4.921
365,4.94
366,4.854
367,4.404
368,4.738
369,3.452
370,3.887
371,4.436
372,3.338
373,3.487
374,1.334
375,3.752
376,2.619
377,3.019
378,4.621
379,2.052
380,3.971
381,4.839
382,4.772
383,4.822
384,4.721
385,3.403
386,3.287
387,4.521
388,4.505
389,4.971
390,3.753
391,1.269
392,1.902
393,3.553
394,2.584
395,4.473
396,4.705
397,4.337
398,4.688
399,4.072
400,4.454
401,3.135
402,2.802
403,3.103
404,3.718
405,3.789
406,2.985
407,3.252
408,1.303
409,3.803
410,1.834
411,4.604
412,1.084
413,4.154
414,2.018
415,4.021
416,4.654
417,2.051
418,2.937
419,3.77
420,2.519
421,1.701
422,3.854
423,2.851
424,2.451
425,2.722
426,2.618
427,4.504
428,1.102
429,3.587
430,4.02
431,4.473
432,3.202
433,3.735
434,2.736
435,2.834
436,4.17
437,4.222
438,3.587
439,2.736
440,2.986
441,5.238
442,3.487
443,4.02
444,4.255
445,2.569
446,3.937
447,3.572
448,3.853
449,4.253
450,3.589
451,3.101
452,2.118
453,3.103
454,3.57
455,2.384
456,4.321
457,3.236
458,4.136
459,1.435
460,2.302
461,1.517
462,2.885
463,3.203
464,4.353
465,0.516
466,3.736
467,4.203
468,2.468
469,2.517
470,3.72
471,2.635
472,4.306
473,2.936
474,3.186
475,3.701
476,3.722
477,3.051
478,3.971
479,3.72
480,4.254
481,2.404
482,3.887
483,4.203
484,3.555
485,3.42
486,4.906
487,2.403
488,3.086
489,2.684
490,4.106
491,3.937
492,3.187
493,2.302
494,4.153
495,4.355
496,2.869
497,3.586
498,3.403
499,2.952
500,3.836
501,2.605
502,2.685
503,1.05
504,2.185
505,2.284
506,2.935
507,2.885
508,1.918
509,3.838
510,2.936
511,3.52
512,2.755
513,2.903
514,3.236
515,4.088
516,1.501
517,0.968
518,2.785
519,3.387
520,3.269
521,3.154
522,2.869
523,2.772
524,3.836
525,1.5
526,2.853
527,3.169
528,3.72
529,2.855
530,4.003
531,3.752
532,4.056
533,2.836
534,3.37
535,3.488
536,2.686
537,5.407
538,3.653
539,3.752
540,2.287
541,3.519
542,3.085
543,1.45
544,2.471
545,3.82
546,845.498
547,3.972
548,2.669
549,1.851
550,3.204
551,1.919
552,3.07
553,3.038
554,2.885
555,3.07
556,3.771
557,3.888
558,2.936
559,2.969
